No.,Station.ID,Date,Observed,Simulated,Month,Year
1,7195800,1995-07-01T04:00:00Z,0.35,0.85,7,1995
2,7195800,1995-08-01T04:00:00Z,0.21,0.33,8,1995
3,7195800,1995-09-01T04:00:00Z,0.21,0.16,9,1995
4,7195800,1995-10-01T04:00:00Z,0.21,0.11,10,1995
5,7195800,1995-11-01T05:00:00Z,0.22,0.1,11,1995
6,7195800,1995-12-01T05:00:00Z,0.24,0.34,12,1995
7,7195800,1996-07-01T04:00:00Z,0.15,0.11,7,1996
8,7195800,1996-08-01T04:00:00Z,0.13,0.03,8,1996
9,7195800,1996-09-01T04:00:00Z,0.4,0.69,9,1996
10,7195800,1996-10-01T04:00:00Z,0.22,0.37,10,1996
11,7195800,1996-11-01T05:00:00Z,1.35,1.92,11,1996
12,7195800,1996-12-01T05:00:00Z,0.62,1.07,12,1996
13,7195800,1997-07-01T04:00:00Z,0.16,0.59,7,1997
14,7195800,1997-08-01T04:00:00Z,0.22,0.5,8,1997
15,7195800,1997-09-01T04:00:00Z,0.17,0.48,9,1997
16,7195800,1997-10-01T04:00:00Z,0.21,0.53,10,1997
17,7195800,1997-11-01T05:00:00Z,0.28,0.49,11,1997
18,7195800,1997-12-01T05:00:00Z,0.5,0.72,12,1997
19,7195800,1998-07-01T04:00:00Z,0.15,0.22,7,1998
20,7195800,1998-08-01T04:00:00Z,0.13,0.06,8,1998
21,7195800,1998-09-01T04:00:00Z,0.13,0.1,9,1998
22,7195800,1998-10-01T04:00:00Z,0.19,0.42,10,1998
23,7195800,1998-11-01T05:00:00Z,0.27,0.39,11,1998
24,7195800,1998-12-01T05:00:00Z,0.24,0.43,12,1998
25,7195800,1999-07-01T04:00:00Z,1.2,1.5,7,1999
26,7195800,1999-08-01T04:00:00Z,0.43,0.89,8,1999
27,7195800,1999-09-01T04:00:00Z,0.32,0.32,9,1999
28,7195800,1999-10-01T04:00:00Z,0.23,0.11,10,1999
29,7195800,1999-11-01T05:00:00Z,0.28,0.1,11,1999
30,7195800,1999-12-01T05:00:00Z,0.42,0.41,12,1999
31,7195800,2000-07-01T04:00:00Z,0.42,1.1,7,2000
32,7195800,2000-08-01T04:00:00Z,0.19,0.66,8,2000
33,7195800,2000-09-01T04:00:00Z,0.2,0.34,9,2000
34,7195800,2000-10-01T04:00:00Z,0.24,0.14,10,2000
35,7195800,2000-11-01T05:00:00Z,0.42,0.44,11,2000
36,7195800,2000-12-01T05:00:00Z,0.27,0.41,12,2000
37,7195855,1995-07-01T04:00:00Z,1.56,3.78,7,1995
38,7195855,1995-08-01T04:00:00Z,0.68,1.85,8,1995
39,7195855,1995-09-01T04:00:00Z,0.39,0.83,9,1995
40,7195855,1995-10-01T04:00:00Z,0.37,0.47,10,1995
41,7195855,1995-11-01T05:00:00Z,0.56,0.31,11,1995
42,7195855,1995-12-01T05:00:00Z,0.52,0.97,12,1995
43,7195855,1996-07-01T04:00:00Z,0.21,0.78,7,1996
44,7195855,1996-08-01T04:00:00Z,0.17,0.46,8,1996
45,7195855,1996-09-01T04:00:00Z,0.91,3.17,9,1996
46,7195855,1996-10-01T04:00:00Z,0.7,1.72,10,1996
47,7195855,1996-11-01T05:00:00Z,3.49,6.82,11,1996
48,7195855,1996-12-01T05:00:00Z,1.91,4.18,12,1996
49,7195855,1997-07-01T04:00:00Z,0.25,1.89,7,1997
50,7195855,1997-08-01T04:00:00Z,0.48,2.67,8,1997
51,7195855,1997-09-01T04:00:00Z,0.24,2,9,1997
52,7195855,1997-10-01T04:00:00Z,0.35,1.91,10,1997
53,7195855,1997-11-01T05:00:00Z,0.65,1.83,11,1997
54,7195855,1997-12-01T05:00:00Z,1.35,2.72,12,1997
55,7195855,1998-07-01T04:00:00Z,0.25,1.25,7,1998
56,7195855,1998-08-01T04:00:00Z,0.11,0.43,8,1998
57,7195855,1998-09-01T04:00:00Z,0.19,1.42,9,1998
58,7195855,1998-10-01T04:00:00Z,0.8,3.57,10,1998
59,7195855,1998-11-01T05:00:00Z,0.97,2.42,11,1998
60,7195855,1998-12-01T05:00:00Z,0.78,2,12,1998
61,7195855,1999-07-01T04:00:00Z,3.67,4.99,7,1999
62,7195855,1999-08-01T04:00:00Z,0.79,2.83,8,1999
63,7195855,1999-09-01T04:00:00Z,0.72,1.37,9,1999
64,7195855,1999-10-01T04:00:00Z,0.38,0.63,10,1999
65,7195855,1999-11-01T05:00:00Z,0.43,0.43,11,1999
66,7195855,1999-12-01T05:00:00Z,0.76,2.13,12,1999
67,7195855,2000-07-01T04:00:00Z,2.48,4.54,7,2000
68,7195855,2000-08-01T04:00:00Z,0.61,2.8,8,2000
69,7195855,2000-09-01T04:00:00Z,0.43,1.86,9,2000
70,7195855,2000-10-01T04:00:00Z,0.38,0.8,10,2000
71,7195855,2000-11-01T05:00:00Z,1.21,1.68,11,2000
72,7195855,2000-12-01T05:00:00Z,0.87,1.71,12,2000
73,7195865,1997-07-01T04:00:00Z,0.16,0.59,7,1997
74,7195865,1997-08-01T04:00:00Z,0.25,1.57,8,1997
75,7195865,1997-09-01T04:00:00Z,0.15,0.95,9,1997
76,7195865,1997-10-01T04:00:00Z,0.22,0.81,10,1997
77,7195865,1997-11-01T05:00:00Z,0.38,0.82,11,1997
78,7195865,1997-12-01T05:00:00Z,0.7,1.23,12,1997
