"No.","Station.ID","Date","Observed","Simulated","Month","Year"
199,7196973,"1995-07-01T04:00:00Z",0.55,2.07,7,1995
200,7196973,"1995-08-01T04:00:00Z",0.22,0.97,8,1995
201,7196973,"1995-09-01T04:00:00Z",0.12,0.37,9,1995
202,7196973,"1995-10-01T04:00:00Z",0.08,0.16,10,1995
203,7196973,"1995-11-01T05:00:00Z",0.09,0.08,11,1995
204,7196973,"1995-12-01T05:00:00Z",0.12,0.34,12,1995
205,7196973,"1996-07-01T04:00:00Z",0.04,0.54,7,1996
206,7196973,"1996-08-01T04:00:00Z",0.01,0.27,8,1996
207,7196973,"1996-09-01T04:00:00Z",1.28,1.59,9,1996
208,7196973,"1996-10-01T04:00:00Z",0.49,0.88,10,1996
209,7196973,"1996-11-01T05:00:00Z",2.56,3.23,11,1996
210,7196973,"1996-12-01T05:00:00Z",1.08,2.04,12,1996
211,7196973,"1997-07-01T04:00:00Z",0.4,0.64,7,1997
212,7196973,"1997-08-01T04:00:00Z",0.07,1.59,8,1997
213,7196973,"1997-09-01T04:00:00Z",0.03,0.82,9,1997
214,7196973,"1997-10-01T04:00:00Z",0.12,0.69,10,1997
215,7196973,"1997-11-01T05:00:00Z",0.25,0.79,11,1997
216,7196973,"1997-12-01T05:00:00Z",1.12,1.42,12,1997
217,7196973,"1998-07-01T04:00:00Z",0.01,0.77,7,1998
218,7196973,"1998-08-01T04:00:00Z",0,0.2,8,1998
219,7196973,"1998-09-01T04:00:00Z",0.06,1.09,9,1998
220,7196973,"1998-10-01T04:00:00Z",0.31,2.9,10,1998
221,7196973,"1998-11-01T05:00:00Z",0.28,1.61,11,1998
222,7196973,"1998-12-01T05:00:00Z",0.53,1.1,12,1998
223,7196973,"1999-07-01T04:00:00Z",0.35,1.91,7,1999
224,7196973,"1999-08-01T04:00:00Z",0.11,0.98,8,1999
225,7196973,"1999-09-01T04:00:00Z",0.06,0.62,9,1999
226,7196973,"1999-10-01T04:00:00Z",0,0.24,10,1999
