"No.","Station.ID","Date","Observed","Simulated","Month","Year"
199,7196973,"1995-01-01T05:00:00Z",1.47,2.18,1,1995
200,7196973,"1995-02-01T05:00:00Z",0.53,1.14,2,1995
201,7196973,"1995-03-01T05:00:00Z",1.08,0.76,3,1995
202,7196973,"1995-04-01T05:00:00Z",1.31,1.89,4,1995
203,7196973,"1995-05-01T04:00:00Z",2.45,1.7,5,1995
204,7196973,"1995-06-01T04:00:00Z",2.11,2.91,6,1995
205,7196973,"1996-01-01T05:00:00Z",0.28,0.55,1,1996
206,7196973,"1996-02-01T05:00:00Z",0.13,0.36,2,1996
207,7196973,"1996-03-01T05:00:00Z",0.14,0.56,3,1996
208,7196973,"1996-04-01T05:00:00Z",0.87,0.57,4,1996
209,7196973,"1996-05-01T04:00:00Z",0.59,0.79,5,1996
210,7196973,"1996-06-01T04:00:00Z",0.18,0.7,6,1996
211,7196973,"1997-01-01T05:00:00Z",0.23,1.5,1,1997
212,7196973,"1997-02-01T05:00:00Z",1.55,1.47,2,1997
213,7196973,"1997-03-01T05:00:00Z",1.18,1.79,3,1997
214,7196973,"1997-04-01T05:00:00Z",0.86,1.85,4,1997
215,7196973,"1997-05-01T04:00:00Z",0.38,1.06,5,1997
216,7196973,"1997-06-01T04:00:00Z",0.83,0.97,6,1997
217,7196973,"1998-01-01T05:00:00Z",2.33,2.56,1,1998
218,7196973,"1998-02-01T05:00:00Z",0.51,1.66,2,1998
219,7196973,"1998-03-01T05:00:00Z",1.55,1.96,3,1998
220,7196973,"1998-04-01T05:00:00Z",0.72,1.7,4,1998
221,7196973,"1998-05-01T04:00:00Z",0.41,1.51,5,1998
222,7196973,"1998-06-01T04:00:00Z",0.17,0.86,6,1998
223,7196973,"1999-01-01T05:00:00Z",0.33,0.77,1,1999
224,7196973,"1999-02-01T05:00:00Z",1,1.72,2,1999
225,7196973,"1999-03-01T05:00:00Z",1.49,1.52,3,1999
226,7196973,"1999-04-01T05:00:00Z",1.21,1.83,4,1999
