No.,Station.ID,Date,Observed,Simulated,Month,Year
1,7195800,1995-01-01T05:00:00Z,0.56,1.04,1,1995
2,7195800,1995-02-01T05:00:00Z,0.14,0.69,2,1995
3,7195800,1995-03-01T05:00:00Z,0.22,0.89,3,1995
4,7195800,1995-04-01T05:00:00Z,0.75,0.89,4,1995
5,7195800,1995-05-01T04:00:00Z,1.35,1.2,5,1995
6,7195800,1995-06-01T04:00:00Z,1.6,1.22,6,1995
7,7195800,1996-01-01T05:00:00Z,0.34,0.57,1,1996
8,7195800,1996-02-01T05:00:00Z,0.21,0.34,2,1996
9,7195800,1996-03-01T05:00:00Z,0.25,0.27,3,1996
10,7195800,1996-04-01T05:00:00Z,0.35,0.44,4,1996
11,7195800,1996-05-01T04:00:00Z,0.43,0.41,5,1996
12,7195800,1996-06-01T04:00:00Z,0.28,0.44,6,1996
13,7195800,1997-01-01T05:00:00Z,0.27,0.86,1,1997
14,7195800,1997-02-01T05:00:00Z,1.28,0.91,2,1997
15,7195800,1997-03-01T05:00:00Z,0.76,0.92,3,1997
16,7195800,1997-04-01T05:00:00Z,0.35,0.85,4,1997
17,7195800,1997-05-01T04:00:00Z,0.24,0.67,5,1997
18,7195800,1997-06-01T04:00:00Z,0.27,0.79,6,1997
19,7195800,1998-01-01T05:00:00Z,1.43,1.25,1,1998
20,7195800,1998-02-01T05:00:00Z,0.35,1.02,2,1998
21,7195800,1998-03-01T05:00:00Z,1.11,1.17,3,1998
22,7195800,1998-04-01T05:00:00Z,0.41,1.01,4,1998
23,7195800,1998-05-01T04:00:00Z,0.38,1.13,5,1998
24,7195800,1998-06-01T04:00:00Z,0.21,0.65,6,1998
25,7195800,1999-01-01T05:00:00Z,0.22,0.52,1,1999
26,7195800,1999-02-01T05:00:00Z,0.55,0.79,2,1999
27,7195800,1999-03-01T05:00:00Z,0.79,0.86,3,1999
28,7195800,1999-04-01T05:00:00Z,0.54,1.1,4,1999
29,7195800,1999-05-01T04:00:00Z,1.04,1.83,5,1999
30,7195800,1999-06-01T04:00:00Z,1.56,2.24,6,1999
31,7195800,2000-01-01T05:00:00Z,0.35,0.42,1,2000
32,7195800,2000-02-01T05:00:00Z,0.23,0.28,2,2000
33,7195800,2000-03-01T05:00:00Z,0.35,0.4,3,2000
34,7195800,2000-04-01T05:00:00Z,0.17,0.25,4,2000
35,7195800,2000-05-01T04:00:00Z,0.33,0.33,5,2000
36,7195800,2000-06-01T04:00:00Z,2.9,1.47,6,2000
37,7195855,1995-01-01T05:00:00Z,2.36,4.11,1,1995
38,7195855,1995-02-01T05:00:00Z,1.4,2.45,2,1995
39,7195855,1995-03-01T05:00:00Z,1.65,2.53,3,1995
40,7195855,1995-04-01T05:00:00Z,2.14,3.24,4,1995
41,7195855,1995-05-01T04:00:00Z,4.42,4.01,5,1995
42,7195855,1995-06-01T04:00:00Z,4.77,5.14,6,1995
43,7195855,1996-01-01T05:00:00Z,0.8,1.74,1,1996
44,7195855,1996-02-01T05:00:00Z,0.62,1.15,2,1996
45,7195855,1996-03-01T05:00:00Z,0.48,1.13,3,1996
46,7195855,1996-04-01T05:00:00Z,0.71,1.41,4,1996
47,7195855,1996-05-01T04:00:00Z,0.86,1.57,5,1996
48,7195855,1996-06-01T04:00:00Z,0.57,1.64,6,1996
49,7195855,1997-01-01T05:00:00Z,0.82,3.19,1,1997
50,7195855,1997-02-01T05:00:00Z,3.03,3.16,2,1997
51,7195855,1997-03-01T05:00:00Z,2.45,3.45,3,1997
52,7195855,1997-04-01T05:00:00Z,1.37,3.46,4,1997
53,7195855,1997-05-01T04:00:00Z,0.96,2.37,5,1997
54,7195855,1997-06-01T04:00:00Z,0.85,2.38,6,1997
55,7195855,1998-01-01T05:00:00Z,3.44,4.82,1,1998
56,7195855,1998-02-01T05:00:00Z,1.14,3.67,2,1998
57,7195855,1998-03-01T05:00:00Z,3.03,4.13,3,1998
58,7195855,1998-04-01T05:00:00Z,1.59,3.59,4,1998
59,7195855,1998-05-01T04:00:00Z,1.51,3.61,5,1998
60,7195855,1998-06-01T04:00:00Z,0.71,2.15,6,1998
61,7195855,1999-01-01T05:00:00Z,0.63,1.82,1,1999
62,7195855,1999-02-01T05:00:00Z,2.14,3.13,2,1999
63,7195855,1999-03-01T05:00:00Z,2.43,3.1,3,1999
64,7195855,1999-04-01T05:00:00Z,1.46,3.88,4,1999
65,7195855,1999-05-01T04:00:00Z,3.51,6.39,5,1999
66,7195855,1999-06-01T04:00:00Z,4.68,7.34,6,1999
67,7195855,2000-01-01T05:00:00Z,0.59,1.58,1,2000
68,7195855,2000-02-01T05:00:00Z,0.56,1.43,2,2000
69,7195855,2000-03-01T05:00:00Z,0.99,1.84,3,2000
70,7195855,2000-04-01T05:00:00Z,0.46,1.42,4,2000
71,7195855,2000-05-01T04:00:00Z,0.87,2.11,5,2000
72,7195855,2000-06-01T04:00:00Z,9.53,6.05,6,2000
73,7195865,1997-01-01T05:00:00Z,0.33,1.23,1,1997
74,7195865,1997-02-01T05:00:00Z,1.51,1.22,2,1997
75,7195865,1997-03-01T05:00:00Z,1.06,1.41,3,1997
76,7195865,1997-04-01T05:00:00Z,0.66,1.49,4,1997
77,7195865,1997-05-01T04:00:00Z,0.33,0.87,5,1997
78,7195865,1997-06-01T04:00:00Z,0.39,0.76,6,1997
79,7195865,1998-01-01T05:00:00Z,1.52,2.02,1,1998
80,7195865,1998-02-01T05:00:00Z,0.55,1.34,2,1998
81,7195865,1998-03-01T05:00:00Z,1.24,1.57,3,1998
82,7195865,1998-04-01T05:00:00Z,0.49,1.32,4,1998
83,7195865,1998-05-01T04:00:00Z,0.51,1.16,5,1998
84,7195865,1998-06-01T04:00:00Z,0.25,0.74,6,1998
85,7195865,1999-01-01T05:00:00Z,0.32,0.67,1,1999
86,7195865,1999-02-01T05:00:00Z,0.93,1.34,2,1999
87,7195865,1999-03-01T05:00:00Z,1.25,1.21,3,1999
88,7195865,1999-04-01T05:00:00Z,0.58,1.5,4,1999
89,7195865,1999-05-01T04:00:00Z,1.69,2.37,5,1999
90,7195865,1999-06-01T04:00:00Z,1.68,2.48,6,1999
91,7195865,2000-01-01T05:00:00Z,0.36,0.73,1,2000
92,7195865,2000-02-01T05:00:00Z,0.26,0.86,2,2000
